454   0.000000 __libc_start_main(0x401f50, 2, 0x7fff637b0c48, 0x406b90, 0x406c20 <unfinished ...>
454   0.000058 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87b, 0x19d33d0, 0, 0)                                   = 0x19d3520
454   0.000068 fgets("", 1424086717, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000062 strcspn("-shark ERROR", " \t")                                                                   = 6
454   0.000058 strspn("ERROR", " \t")                                                                           = 0
454   0.000056 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87c, 0x19d33f0, 0, 0)                                   = 0x19d3540
454   0.000067 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., 1424084992, 0x19d3170) = NULL
454   0.000088 fclose(0x19d3090)                                                                                = 0
454   0.000132 getenv("JDK_ALTERNATE_VM")                                                                       = NULL
454   0.000065 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7f5054e13700)                                              = 0x19d3090
454   0.000073 strchr("server", '/')                                                                            = NULL
454   0.000068 __sprintf_chk(0x7fff637afb20, 1, -1, 0x4078da, 0x7fff637aeb20)                                   = 64
454   0.000072 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff637ad930)                                = 0
454   0.000107 getenv("LD_LIBRARY_PATH")                                                                        = NULL
454   0.000060 getgid()                                                                                         = 1000
454   0.000069 getegid()                                                                                        = 1000
454   0.000065 getuid()                                                                                         = 1000
454   0.000064 geteuid()                                                                                        = 1000
454   0.000064 JLI_StringDup(0x7fff637afb20, 0x7fff637ad930, 15, -1, 0x7fff637afb56)                            = 0x19d30b0
454   0.000069 strlen("amd64")                                                                                  = 5
454   0.000059 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 37
454   0.000060 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 64
454   0.000062 JLI_MemAlloc(200, 0x7fff637afb61, 0, 48, 0x2f3436646d612f62)                                     = 0x19d3100
454   0.000069 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/libjvm.so"
454   0.000064 __sprintf_chk(0x19d3100, 1, -1, 0x407b90, 0x19d30b0)                                             = 169
454   0.000070 putenv("LD_LIBRARY_PATH=/usr/lib/jvm/jav"...)                                                    = 0
454   0.000076 fflush(0x7f50545d2260)                                                                           = 0
454   0.000062 fflush(0x7f50545d2180)                                                                           = 0
454   0.000058 execve(0x19d3030, 0x19d3070, 0x19d31d0, 0x7fff637b1fc5, 0x7f5054e13700 <unfinished ...>
454   0.000399 --- Called exec() ---
454   0.003730 __libc_start_main(0x401f50, 2, 0x7fff915ad9f8, 0x406b90, 0x406c20 <unfinished ...>
454   0.000129 getenv("_JAVA_LAUNCHER_DEBUG")                                                                   = NULL
454   0.000127 getenv("_JAVA_VERSION_SET")                                                                      = NULL
454   0.000113 JLI_MemAlloc(24, 0x7fff915ad9f8, 8, 95, 0x406c20)                                                = 0x1858010
454   0.000220 JLI_FreeManifest(0, 0x1858020, 0x7fff915ada00, 0, 3)                                             = 0x7fff915adcc2
454   0.000133 JLI_MemFree(0x1858010, 0x1858020, 0x7fff915ada00, 0, 3)                                          = 0
454   0.000119 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fcc2dfb3728, 3)                                               = 0x1858010
454   0.000124 readlink(0x4077db, 0x7fff915a9630, 4096, 4096, 0x7fff915ac8d0)                                   = 46
454   0.000178 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                       = -18
454   0.000176 strlen("/persistmnt/")                                                                           = 12
454   0.000120 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                               = -5
454   0.000114 strlen("/rofs/")                                                                                 = 6
454   0.000098 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
454   0.000117 strlen("/rwfs/")                                                                                 = 6
454   0.000164 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
454   0.000097 strlen("/squashmnt/")                                                                            = 11
454   0.000061 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                                = -2
454   0.000065 JLI_StringDup(0x7fff915a9630, 0x7fff915a9630, 1, 117, 65535)                                     = 0x1858030
454   0.000095 JLI_MemAlloc(24, 0x7fff915a965f, 0x7fff915aa7fc, 0x6176616a2f6e69, 0x76616a2f6d766a2f)           = 0x1858070
454   0.000074 strncpy(0x7fff915ab8d0, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                             = 0x7fff915ab8d0
454   0.000076 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/java"
454   0.000067 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 41
454   0.000062 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
454   0.000063 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
454   0.000062 __sprintf_chk(0x7fff915a9640, 1, 4096, 0x40788e, 0x7fff915ab8d0)                                 = 58
454   0.000096 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                 = 0
454   0.000096 __strcpy_chk(0x7fff915a8600, 0x7fff915ab8d0, 4126, -1, 0x7fff915a966f)                           = 0x7fff915a8600
454   0.000083 __strcat_chk(0x7fff915a8600, 0x407230, 4126, 0, 0xfefefefefefefeff)                              = 0x7fff915a8600
454   0.000073 __strcat_chk(0x7fff915a8600, 0x407811, 4126, 0, 0x7fff915a8624)                                  = 0x7fff915a8600
454   0.000069 __strcat_chk(0x7fff915a8600, 0x407236, 4126, 0, 0x7fff915a8629)                                  = 0x7fff915a8600
454   0.000068 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                                = 0x1858090
454   0.000119 fgets("", 780136521, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000166 fgets("", 780136585, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000063 fgets("", 780136587, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780136658, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 fgets("", 780136729, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780136798, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780136868, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000070 fgets("", 780136928, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 fgets("", 780136930, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137005, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780137077, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137149, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780137223, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000059 fgets("", 780137249, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137251, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137327, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137400, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137464, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137466, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000078 fgets("", 780137540, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000104 fgets("", 780137613, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000066 fgets("", 780137626, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780137628, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137631, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137697, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137760, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137827, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000059 fgets("", 780137863, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780137865, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 fgets("", 780137927, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000167 fgets("", 780137987, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000092 fgets("", 780138035, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780138037, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 fgets("", 780138051, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000060 JLI_MemAlloc(320, 0x7fcc2e7ff643, 0, 0x7fff915a9620, 1)                                          = 0x18582d0
454   0.000070 JLI_MemFree(0, 134464, 0x7fcc2dfb3720, 0x400000, 3)                                              = 0
454   0.000069 strcspn("-server KNOWN", " \t")                                                                  = 7
454   0.000068 strspn("KNOWN", " \t")                                                                           = 0
454   0.000062 JLI_StringDup(0x7fff915a9620, 0x7fff915a962d, 0x18582d0, 0, 0)                                   = 0x1858420
454   0.000079 fgets("", 780138066, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000064 strcspn("-client IGNORE", " \t")                                                                 = 7
454   0.000059 strspn("IGNORE", " \t")                                                                          = 0
454   0.000057 JLI_StringDup(0x7fff915a9620, 0x7fff915a962e, 0x18582f0, 0, 0)                                   = 0x1858440
454   0.000069 fgets("", 780138081, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 strcspn("-hotspot ERROR", " \t")                                                                 = 8
454   0.000059 strspn("ERROR", " \t")                                                                           = 0
454   0.000057 JLI_StringDup(0x7fff915a9620, 0x7fff915a962e, 0x1858310, 0, 0)                                   = 0x1858460
454   0.000069 fgets("", 780138095, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 strcspn("-classic WARN", " \t")                                                                  = 8
454   0.000059 strspn("WARN", " \t")                                                                            = 0
454   0.000057 JLI_StringDup(0x7fff915a9620, 0x7fff915a962d, 0x1858330, 0, 0)                                   = 0x1858480
454   0.000068 fgets("", 780138109, 0x1858170)                                                                  = 0x7fff915a9620
