20973   0.000000 __libc_start_main(0x401f50, 2, 0x7fffacba4bc8, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000083 fclose(0x6f3090)                                                                               = 0
20973   0.000106 getenv("JDK_ALTERNATE_VM")                                                                     = NULL
20973   0.000061 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fd780485700)                                            = 0x6f3090
20973   0.000072 strchr("server", '/')                                                                          = NULL
20973   0.000065 __sprintf_chk(0x7fffacba3aa0, 1, -1, 0x4078da, 0x7fffacba2aa0)                                 = 64
20973   0.000070 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fffacba18b0)                              = 0
20973   0.000083 getenv("LD_LIBRARY_PATH")                                                                      = NULL
20973   0.000059 getgid()                                                                                       = 1000
20973   0.000067 getegid()                                                                                      = 1000
20973   0.000064 getuid()                                                                                       = 1000
20973   0.000063 geteuid()                                                                                      = 1000
20973   0.000064 JLI_StringDup(0x7fffacba3aa0, 0x7fffacba18b0, 15, -1, 0x7fffacba3ad6)                          = 0x6f30b0
20973   0.000069 strlen("amd64")                                                                                = 5
20973   0.000058 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 37
20973   0.000061 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 64
20973   0.000061 JLI_MemAlloc(200, 0x7fffacba3ae1, 0, 48, 0x2f3436646d612f62)                                   = 0x6f3100
20973   0.000086 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/libjvm.so"
20973   0.000064 __sprintf_chk(0x6f3100, 1, -1, 0x407b90, 0x6f30b0)                                             = 169
20973   0.000106 putenv("LD_LIBRARY_PATH=/usr/lib/jvm/jav"...)                                                  = 0
20973   0.000081 fflush(0x7fd77fc44260)                                                                         = 0
20973   0.000063 fflush(0x7fd77fc44180)                                                                         = 0
20973   0.000059 execve(0x6f3030, 0x6f3070, 0x6f31d0, 0x7fffacba4fd8, 0x7fd780485700 <unfinished ...>
20973   0.000289 --- Called exec() ---
20973   0.002046 __libc_start_main(0x401f50, 2, 0x7fff92d03088, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000070 getenv("_JAVA_LAUNCHER_DEBUG")                                                                 = NULL
20973   0.000079 getenv("_JAVA_VERSION_SET")                                                                    = NULL
20973   0.000064 JLI_MemAlloc(24, 0x7fff92d03088, 8, 95, 0x406c20)                                              = 0x2174010
20973   0.000147 JLI_FreeManifest(0, 0x2174020, 0x7fff92d03090, 0, 3)                                           = 0x7fff92d03d02
20973   0.000081 JLI_MemFree(0x2174010, 0x2174020, 0x7fff92d03090, 0, 3)                                        = 0
20973   0.000076 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fe5d3aef728, 3)                                             = 0x2174010
20973   0.000074 readlink(0x4077db, 0x7fff92cfecc0, 4096, 4096, 0x7fff92d01f60)                                 = 46
20973   0.000111 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                     = -18
20973   0.000071 strlen("/persistmnt/")                                                                         = 12
