7077   0.000000 __libc_start_main(0x401f50, 2, 0x7fff86b7a4c8, 0x406b90, 0x406c20 <unfinished ...>
7077   0.000059 fgets("", -545704966, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704892, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704819, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545704806, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704804, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704801, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704735, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545704672, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704605, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545704569, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704567, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545704505, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704445, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704397, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545704395, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545704381, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 JLI_MemAlloc(320, 0x7fdbdf793643, 0, 0x7fff05fb5c70, 1)                                         = 0x7aa2d0
7077   0.000079 JLI_MemFree(0, 134464, 0x7fdbdef47720, 0x400000, 3)                                             = 0
7077   0.000067 strcspn("-server KNOWN", " \t")                                                                 = 7
7077   0.000066 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000060 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7d, 0x7aa2d0, 0, 0)                                   = 0x7aa420
7077   0.000084 fgets("", -545704366, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000097 strcspn("-client IGNORE", " \t")                                                                = 7
7077   0.000062 strspn("IGNORE", " \t")                                                                         = 0
7077   0.000056 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7e, 0x7aa2f0, 0, 0)                                   = 0x7aa440
7077   0.000067 fgets("", -545704351, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000061 strcspn("-hotspot ERROR", " \t")                                                                = 8
7077   0.000057 strspn("ERROR", " \t")                                                                          = 0
7077   0.000056 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7e, 0x7aa310, 0, 0)                                   = 0x7aa460
7077   0.000067 fgets("", -545704337, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 strcspn("-classic WARN", " \t")                                                                 = 8
7077   0.000057 strspn("WARN", " \t")                                                                           = 0
7077   0.000056 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7d, 0x7aa330, 0, 0)                                   = 0x7aa480
7077   0.000073 fgets("", -545704323, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000061 strcspn("-native ERROR", " \t")                                                                 = 7
7077   0.000056 strspn("ERROR", " \t")                                                                          = 0
7077   0.000055 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7d, 0x7aa350, 0, 0)                                   = 0x7aa4a0
7077   0.000067 fgets("", -545704310, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000061 strcspn("-green ERROR", " \t")                                                                  = 6
7077   0.000057 strspn("ERROR", " \t")                                                                          = 0
7077   0.000055 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7c, 0x7aa370, 0, 0)                                   = 0x7aa4c0
7077   0.000066 fgets("", -545704297, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 strcspn("-jamvm KNOWN", " \t")                                                                  = 6
7077   0.000057 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000055 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7c, 0x7aa390, 0, 0)                                   = 0x7aa4e0
7077   0.000067 fgets("", -545704284, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 strcspn("-cacao KNOWN", " \t")                                                                  = 6
7077   0.000056 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000056 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7c, 0x7aa3b0, 0, 0)                                   = 0x7aa500
7077   0.000066 fgets("", -545704272, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 strcspn("-zero KNOWN", " \t")                                                                   = 5
7077   0.000057 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000055 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7b, 0x7aa3d0, 0, 0)                                   = 0x7aa520
7077   0.000067 fgets("", -545704259, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 strcspn("-shark ERROR", " \t")                                                                  = 6
7077   0.000064 strspn("ERROR", " \t")                                                                          = 0
7077   0.000057 JLI_StringDup(0x7fff05fb5c70, 0x7fff05fb5c7c, 0x7aa3f0, 0, 0)                                   = 0x7aa540
7077   0.000074 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -545705984, 0x7aa170) = NULL
7077   0.000080 fclose(0x7aa090)                                                                                = 0
7077   0.000107 getenv("JDK_ALTERNATE_VM")                                                                      = NULL
7077   0.000062 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fdbdf788700)                                             = 0x7aa090
