20845   0.000000 __libc_start_main(0x401f50, 2, 0x7fff5af84578, 0x406b90, 0x406c20 <unfinished ...>
20845   0.000057 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ab, 0x137a3d0, 0, 0)                                 = 0x137a520
20845   0.000067 fgets("", -591866179, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000062 strcspn("-shark ERROR", " \t")                                                                 = 6
20845   0.000057 strspn("ERROR", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ac, 0x137a3f0, 0, 0)                                 = 0x137a540
20845   0.000067 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -591867904, 0x137a170) = NULL
20845   0.000083 fclose(0x137a090)                                                                              = 0
20845   0.000108 getenv("JDK_ALTERNATE_VM")                                                                     = NULL
20845   0.000062 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fdddcb83700)                                            = 0x137a090
20845   0.000072 strchr("server", '/')                                                                          = NULL
20845   0.000064 __sprintf_chk(0x7fff5af83450, 1, -1, 0x4078da, 0x7fff5af82450)                                 = 64
20845   0.000070 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff5af81260)                              = 0
20845   0.000083 getenv("LD_LIBRARY_PATH")                                                                      = NULL
20845   0.000059 getgid()                                                                                       = 1000
20845   0.000068 getegid()                                                                                      = 1000
20845   0.000064 getuid()                                                                                       = 1000
20845   0.000063 geteuid()                                                                                      = 1000
20845   0.000064 JLI_StringDup(0x7fff5af83450, 0x7fff5af81260, 15, -1, 0x7fff5af83486)                          = 0x137a0b0
20845   0.000068 strlen("amd64")                                                                                = 5
20845   0.000058 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 37
20845   0.000060 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 64
20845   0.000060 JLI_MemAlloc(200, 0x7fff5af83491, 0, 48, 0x2f3436646d612f62)                                   = 0x137a100
20845   0.000070 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/libjvm.so"
20845   0.000063 __sprintf_chk(0x137a100, 1, -1, 0x407b90, 0x137a0b0)                                           = 169
20845   0.000070 putenv("LD_LIBRARY_PATH=/usr/lib/jvm/jav"...)                                                  = 0
20845   0.000074 fflush(0x7fdddc342260)                                                                         = 0
20845   0.000062 fflush(0x7fdddc342180)                                                                         = 0
20845   0.000058 execve(0x137a030, 0x137a070, 0x137a1d0, 0x7fff5af85fd8, 0x7fdddcb83700 <unfinished ...>
20845   0.000285 --- Called exec() ---
20845   0.002270 __libc_start_main(0x401f50, 2, 0x7fffc0cfdcb8, 0x406b90, 0x406c20 <unfinished ...>
20845   0.000072 getenv("_JAVA_LAUNCHER_DEBUG")                                                                 = NULL
20845   0.000079 getenv("_JAVA_VERSION_SET")                                                                    = NULL
