849   0.000000 __libc_start_main(0x401f50, 2, 0x7fff1fd2cc98, 0x406b90, 0x406c20 <unfinished ...>
849   0.000062 fflush(0x7fcdbc85d180)                                                                           = 0
849   0.000059 execve(0x2010030, 0x2010070, 0x20101d0, 0x7fff1fd2efd8, 0x7fcdbd09e700 <unfinished ...>
849   0.000349 --- Called exec() ---
849   0.002294 __libc_start_main(0x401f50, 2, 0x7fff7dde41a8, 0x406b90, 0x406c20 <unfinished ...>
849   0.000074 getenv("_JAVA_LAUNCHER_DEBUG")                                                                   = NULL
849   0.000079 getenv("_JAVA_VERSION_SET")                                                                      = NULL
849   0.000066 JLI_MemAlloc(24, 0x7fff7dde41a8, 8, 95, 0x406c20)                                                = 0x1336010
849   0.000148 JLI_FreeManifest(0, 0x1336020, 0x7fff7dde41b0, 0, 3)                                             = 0x7fff7dde4d06
849   0.000083 JLI_MemFree(0x1336010, 0x1336020, 0x7fff7dde41b0, 0, 3)                                          = 0
849   0.000076 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fe58e7f5728, 3)                                               = 0x1336010
849   0.000076 readlink(0x4077db, 0x7fff7dddfde0, 4096, 4096, 0x7fff7dde3080)                                   = 46
849   0.000175 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                       = -18
849   0.000115 strlen("/persistmnt/")                                                                           = 12
849   0.000068 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                               = -5
849   0.000065 strlen("/rofs/")                                                                                 = 6
849   0.000056 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
849   0.000064 strlen("/rwfs/")                                                                                 = 6
849   0.000057 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
849   0.000062 strlen("/squashmnt/")                                                                            = 11
849   0.000057 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                                = -2
849   0.000062 JLI_StringDup(0x7fff7dddfde0, 0x7fff7dddfde0, 1, 117, 65535)                                     = 0x1336030
849   0.000078 JLI_MemAlloc(24, 0x7fff7dddfe0f, 0x7fff7dde0fac, 0x6176616a2f6e69, 0x76616a2f6d766a2f)           = 0x1336070
849   0.000070 strncpy(0x7fff7dde2080, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                             = 0x7fff7dde2080
849   0.000072 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/java"
849   0.000066 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 41
849   0.000061 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
849   0.000061 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
849   0.000062 __sprintf_chk(0x7fff7dddfdf0, 1, 4096, 0x40788e, 0x7fff7dde2080)                                 = 58
849   0.000084 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                 = 0
849   0.000091 __strcpy_chk(0x7fff7dddedb0, 0x7fff7dde2080, 4126, -1, 0x7fff7dddfe1f)                           = 0x7fff7dddedb0
849   0.000079 __strcat_chk(0x7fff7dddedb0, 0x407230, 4126, 0, 0xfefefefefefefeff)                              = 0x7fff7dddedb0
849   0.000071 __strcat_chk(0x7fff7dddedb0, 0x407811, 4126, 0, 0x7fff7dddedd4)                                  = 0x7fff7dddedb0
849   0.000068 __strcat_chk(0x7fff7dddedb0, 0x407236, 4126, 0, 0x7fff7dddedd9)                                  = 0x7fff7dddedb0
849   0.000067 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                                = 0x1336090
849   0.000103 fgets("", -1895559095, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000121 fgets("", -1895559031, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000063 fgets("", -1895559029, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558958, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895558887, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558818, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895558748, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000068 fgets("", -1895558688, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000063 fgets("", -1895558686, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558611, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895558539, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558467, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558393, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558367, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558365, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000059 fgets("", -1895558289, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895558216, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558152, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558150, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895558076, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000074 fgets("", -1895558003, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000099 fgets("", -1895557990, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000062 fgets("", -1895557988, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895557985, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895557919, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895557856, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895557789, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895557753, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895557751, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000059 fgets("", -1895557689, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895557629, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 fgets("", -1895557581, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895557579, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 fgets("", -1895557565, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000060 JLI_MemAlloc(320, 0x7fe58f041643, 0, 0x7fff7dddfdd0, 1)                                          = 0x13362d0
849   0.000069 JLI_MemFree(0, 134464, 0x7fe58e7f5720, 0x400000, 3)                                              = 0
849   0.000069 strcspn("-server KNOWN", " \t")                                                                  = 7
849   0.000066 strspn("KNOWN", " \t")                                                                           = 0
